"STATION","NAME","DATE","TMAX","TMIN"
"JA000047615","UTSUNOMIYA, JA","2019-01-01","10.0","-4.4"
"JA000047615","UTSUNOMIYA, JA","2019-01-02","10.6",
"JA000047615","UTSUNOMIYA, JA","2019-01-03","8.9",
"JA000047615","UTSUNOMIYA, JA","2019-01-04","9.0","-4.6"
"JA000047615","UTSUNOMIYA, JA","2019-01-05","14.3","-2.9"
"JA000047615","UTSUNOMIYA, JA","2019-01-06","7.7",
"JA000047615","UTSUNOMIYA, JA","2019-01-07","9.6","-3.7"
"JA000047615","UTSUNOMIYA, JA","2019-01-08","9.1","-3.3"
"JA000047615","UTSUNOMIYA, JA","2019-01-09","7.2",
"JA000047615","UTSUNOMIYA, JA","2019-01-10","5.3","-5.3"
"JA000047615","UTSUNOMIYA, JA","2019-01-11","11.9","-3.4"
"JA000047615","UTSUNOMIYA, JA","2019-01-12","8.4","-2.7"
"JA000047615","UTSUNOMIYA, JA","2019-01-13","10.7",
"JA000047615","UTSUNOMIYA, JA","2019-01-14","10.0","-2.9"
"JA000047615","UTSUNOMIYA, JA","2019-01-15","6.6","-2.6"
"JA000047615","UTSUNOMIYA, JA","2019-01-16","11.1",
"JA000047615","UTSUNOMIYA, JA","2019-01-17","11.8","-3.2"
"JA000047615","UTSUNOMIYA, JA","2019-01-18","9.0",
"JA000047615","UTSUNOMIYA, JA","2019-01-19","10.7","-3.3"
"JA000047615","UTSUNOMIYA, JA","2019-01-20","11.5","-2.5"
"JA000047615","UTSUNOMIYA, JA","2019-01-21","9.6",
"JA000047615","UTSUNOMIYA, JA","2019-01-22","10.1",
"JA000047615","UTSUNOMIYA, JA","2019-01-23","9.8","-4.5"
"JA000047615","UTSUNOMIYA, JA","2019-01-24","9.5",
"JA000047615","UTSUNOMIYA, JA","2019-01-25","8.9","-4.1"
"JA000047615","UTSUNOMIYA, JA","2019-01-26","9.1",
"JA000047615","UTSUNOMIYA, JA","2019-01-27","8.7","-2.8"
"JA000047615","UTSUNOMIYA, JA","2019-01-28","10.0","-2.0"
"JA000047615","UTSUNOMIYA, JA","2019-01-29","9.5",
"JA000047615","UTSUNOMIYA, JA","2019-01-30","9.8","-3.8"
"JA000047615","UTSUNOMIYA, JA","2019-01-31","9.8","-1.9"
"JA000047615","UTSUNOMIYA, JA","2019-02-01","7.9",
"JA000047615","UTSUNOMIYA, JA","2019-02-02","13.9","-4.1"
"JA000047615","UTSUNOMIYA, JA","2019-02-03","14.1","-0.9"
"JA000047615","UTSUNOMIYA, JA","2019-02-04","17.6",
"JA000047615","UTSUNOMIYA, JA","2019-02-05","9.4","1.9"
"JA000047615","UTSUNOMIYA, JA","2019-02-06","9.4",
"JA000047615","UTSUNOMIYA, JA","2019-02-07","13.8","-0.5"
"JA000047615","UTSUNOMIYA, JA","2019-02-08","7.5",
"JA000047615","UTSUNOMIYA, JA","2019-02-09","0.4",
"JA000047615","UTSUNOMIYA, JA","2019-02-10","5.7","-4.3"
"JA000047615","UTSUNOMIYA, JA","2019-02-11","3.1","-2.7"
"JA000047615","UTSUNOMIYA, JA","2019-02-12","10.4","-2.6"
"JA000047615","UTSUNOMIYA, JA","2019-02-13","10.1","-2.2"
"JA000047615","UTSUNOMIYA, JA","2019-02-14","8.1",
"JA000047615","UTSUNOMIYA, JA","2019-02-15","6.5","-4.2"
"JA000047615","UTSUNOMIYA, JA","2019-02-16","14.8",
"JA000047615","UTSUNOMIYA, JA","2019-02-17","10.7","-2.8"
"JA000047615","UTSUNOMIYA, JA","2019-02-18","13.5","-3.2"
"JA000047615","UTSUNOMIYA, JA","2019-02-19","10.3",
"JA000047615","UTSUNOMIYA, JA","2019-02-20","18.8","2.1"
"JA000047615","UTSUNOMIYA, JA","2019-02-21","14.5",
"JA000047615","UTSUNOMIYA, JA","2019-02-22","13.7","-0.3"
"JA000047615","UTSUNOMIYA, JA","2019-02-23","13.0",
"JA000047615","UTSUNOMIYA, JA","2019-02-24","12.4","-1.4"
"JA000047615","UTSUNOMIYA, JA","2019-02-25","17.4","1.1"
"JA000047615","UTSUNOMIYA, JA","2019-02-26","13.2",
"JA000047615","UTSUNOMIYA, JA","2019-02-27","9.8","0.4"
"JA000047615","UTSUNOMIYA, JA","2019-02-28","7.7",
"JA000047615","UTSUNOMIYA, JA","2019-03-01","13.5",
"JA000047615","UTSUNOMIYA, JA","2019-03-02","13.8","0.5"
"JA000047615","UTSUNOMIYA, JA","2019-03-03",,"2.4"
"JA000047615","UTSUNOMIYA, JA","2019-03-04","9.0",
"JA000047615","UTSUNOMIYA, JA","2019-03-05","15.1","2.6"
"JA000047615","UTSUNOMIYA, JA","2019-03-06","14.0",
"JA000047615","UTSUNOMIYA, JA","2019-03-07","9.4",
"JA000047615","UTSUNOMIYA, JA","2019-03-08","11.7",
"JA000047615","UTSUNOMIYA, JA","2019-03-09","14.4","-1.3"
"JA000047615","UTSUNOMIYA, JA","2019-03-10","16.4","2.6"
"JA000047615","UTSUNOMIYA, JA","2019-03-11","14.3",
"JA000047615","UTSUNOMIYA, JA","2019-03-12","17.3","1.9"
"JA000047615","UTSUNOMIYA, JA","2019-03-13",,"3.4"
"JA000047615","UTSUNOMIYA, JA","2019-03-14","12.3",
"JA000047615","UTSUNOMIYA, JA","2019-03-15","13.6","-0.9"
"JA000047615","UTSUNOMIYA, JA","2019-03-16","13.9",
"JA000047615","UTSUNOMIYA, JA","2019-03-17","11.9","-1.0"
"JA000047615","UTSUNOMIYA, JA","2019-03-18","14.0","-0.7"
"JA000047615","UTSUNOMIYA, JA","2019-03-19","18.0","4.3"
"JA000047615","UTSUNOMIYA, JA","2019-03-20","21.0","4.2"
"JA000047615","UTSUNOMIYA, JA","2019-03-21","21.7","9.5"
"JA000047615","UTSUNOMIYA, JA","2019-03-22","24.1",
"JA000047615","UTSUNOMIYA, JA","2019-03-23","8.1",
"JA000047615","UTSUNOMIYA, JA","2019-03-24","13.2","-1.1"
"JA000047615","UTSUNOMIYA, JA","2019-03-25","14.8","1.2"
"JA000047615","UTSUNOMIYA, JA","2019-03-26","17.0","4.6"
"JA000047615","UTSUNOMIYA, JA","2019-03-27","20.5","4.3"
"JA000047615","UTSUNOMIYA, JA","2019-03-28","17.2",
"JA000047615","UTSUNOMIYA, JA","2019-03-29","9.8","3.5"
"JA000047615","UTSUNOMIYA, JA","2019-03-30","8.5",
"JA000047615","UTSUNOMIYA, JA","2019-03-31","14.3",
"JA000047615","UTSUNOMIYA, JA","2019-04-01","15.3","0.1"
"JA000047615","UTSUNOMIYA, JA","2019-04-02","11.9",
"JA000047615","UTSUNOMIYA, JA","2019-04-03","12.5","-0.4"
"JA000047615","UTSUNOMIYA, JA","2019-04-04","17.9","-0.4"
"JA000047615","UTSUNOMIYA, JA","2019-04-05","22.8","3.1"
"JA000047615","UTSUNOMIYA, JA","2019-04-06","20.1",
"JA000047615","UTSUNOMIYA, JA","2019-04-07","20.7","8.4"
"JA000047615","UTSUNOMIYA, JA","2019-04-08","11.9",
"JA000047615","UTSUNOMIYA, JA","2019-04-09","14.6","2.5"
"JA000047615","UTSUNOMIYA, JA","2019-04-10",,
"JA000047615","UTSUNOMIYA, JA","2019-04-11","14.6",
"JA000047615","UTSUNOMIYA, JA","2019-04-12","12.3","2.6"
"JA000047615","UTSUNOMIYA, JA","2019-04-13","17.3","2.0"
"JA000047615","UTSUNOMIYA, JA","2019-04-14","17.9","6.6"
"JA000047615","UTSUNOMIYA, JA","2019-04-15","20.9",
"JA000047615","UTSUNOMIYA, JA","2019-04-16","22.2","4.4"
"JA000047615","UTSUNOMIYA, JA","2019-04-17","19.1","8.0"
"JA000047615","UTSUNOMIYA, JA","2019-04-18","23.3","10.2"
"JA000047615","UTSUNOMIYA, JA","2019-04-19","24.2",
"JA000047615","UTSUNOMIYA, JA","2019-04-20","19.1","8.1"
"JA000047615","UTSUNOMIYA, JA","2019-04-21","20.1","9.5"
"JA000047615","UTSUNOMIYA, JA","2019-04-22","26.5","12.8"
"JA000047615","UTSUNOMIYA, JA","2019-04-23","23.9","13.6"
"JA000047615","UTSUNOMIYA, JA","2019-04-24","20.2","16.2"
"JA000047615","UTSUNOMIYA, JA","2019-04-25","25.6",
"JA000047615","UTSUNOMIYA, JA","2019-04-26","11.5",
"JA000047615","UTSUNOMIYA, JA","2019-04-27","16.3",
"JA000047615","UTSUNOMIYA, JA","2019-04-28","18.8","4.0"
"JA000047615","UTSUNOMIYA, JA","2019-04-29","19.1","8.8"
"JA000047615","UTSUNOMIYA, JA","2019-04-30",,"11.8"
"JA000047615","UTSUNOMIYA, JA","2019-05-01","23.9","13.7"
"JA000047615","UTSUNOMIYA, JA","2019-05-02","23.2",
"JA000047615","UTSUNOMIYA, JA","2019-05-03","26.6","9.0"
"JA000047615","UTSUNOMIYA, JA","2019-05-04","24.8",
"JA000047615","UTSUNOMIYA, JA","2019-05-05","25.5","10.3"
"JA000047615","UTSUNOMIYA, JA","2019-05-06","22.6",
"JA000047615","UTSUNOMIYA, JA","2019-05-07","18.2",
"JA000047615","UTSUNOMIYA, JA","2019-05-08","23.4","4.3"
"JA000047615","UTSUNOMIYA, JA","2019-05-09","23.4",
"JA000047615","UTSUNOMIYA, JA","2019-05-10","27.7","10.5"
"JA000047615","UTSUNOMIYA, JA","2019-05-11","27.6","12.7"
"JA000047615","UTSUNOMIYA, JA","2019-05-12","21.2",
"JA000047615","UTSUNOMIYA, JA","2019-05-13","22.6","12.4"
"JA000047615","UTSUNOMIYA, JA","2019-05-14","20.8",
"JA000047615","UTSUNOMIYA, JA","2019-05-15","23.4","14.7"
"JA000047615","UTSUNOMIYA, JA","2019-05-16","25.7","14.8"
"JA000047615","UTSUNOMIYA, JA","2019-05-17","26.2","14.8"
"JA000047615","UTSUNOMIYA, JA","2019-05-18","26.1","14.6"
"JA000047615","UTSUNOMIYA, JA","2019-05-19","25.3",
"JA000047615","UTSUNOMIYA, JA","2019-05-20","24.9","14.9"
"JA000047615","UTSUNOMIYA, JA","2019-05-21","19.6",
"JA000047615","UTSUNOMIYA, JA","2019-05-22","24.6",
"JA000047615","UTSUNOMIYA, JA","2019-05-23","27.3",
"JA000047615","UTSUNOMIYA, JA","2019-05-24","29.9","13.2"
"JA000047615","UTSUNOMIYA, JA","2019-05-25","31.9","14.4"
"JA000047615","UTSUNOMIYA, JA","2019-05-26","34.4","16.1"
"JA000047615","UTSUNOMIYA, JA","2019-05-27","33.8","18.5"
"JA000047615","UTSUNOMIYA, JA","2019-05-28","28.6",
"JA000047615","UTSUNOMIYA, JA","2019-05-29","25.2",
"JA000047615","UTSUNOMIYA, JA","2019-05-30","26.7","13.9"
"JA000047615","UTSUNOMIYA, JA","2019-05-31","25.4",
